order_id,user_id,product_id,amount,timestamp
ORD-001,U-101,P-201,500,2026-05-01T10:00:00Z
ORD-002,U-102,P-202,750,2026-05-01T10:01:00Z
ORD-003,U-103,P-203,300,2026-05-01T10:02:00Z
ORD-004,U-101,P-204,450,2026-05-01T10:03:00Z
ORD-005,U-104,P-205,900,2026-05-01T10:04:00Z
ORD-006,U-102,P-206,650,2026-05-01T10:05:00Z
ORD-007,U-105,P-207,700,2026-05-01T10:06:00Z
ORD-008,U-103,P-208,250,2026-05-01T10:07:00Z
ORD-009,U-101,P-209,800,2026-05-01T10:08:00Z
ORD-010,U-106,P-210,550,2026-05-01T10:09:00Z
ORD-011,U-102,P-211,350,2026-05-01T10:10:00Z
ORD-012,U-107,P-212,950,2026-05-01T10:11:00Z
ORD-013,U-103,P-213,400,2026-05-01T10:12:00Z
ORD-014,U-108,P-214,600,2026-05-01T10:13:00Z
ORD-015,U-104,P-215,720,2026-05-01T10:14:00Z
ORD-016,U-105,P-216,480,2026-05-01T10:15:00Z
ORD-017,U-109,P-217,870,2026-05-01T10:16:00Z
ORD-018,U-106,P-218,530,2026-05-01T10:17:00Z
ORD-019,U-110,P-219,910,2026-05-01T10:18:00Z
ORD-020,U-101,P-220,640,2026-05-01T10:19:00Z
