ride_id,driver_id,rider_id,status,lat,lon,timestamp
R001,D101,U201,REQUESTED,12.9716,77.5946,2026-06-01T10:00:00
R002,D102,U202,COMPLETED,12.9717,77.5947,2026-06-01T10:01:00
R003,D101,U203,COMPLETED,12.9718,77.5948,2026-06-01T10:02:00
R004,D103,U204,CANCELLED,12.9719,77.5949,2026-06-01T10:03:00
R005,D102,U205,COMPLETED,12.9720,77.5950,2026-06-01T10:04:00
R006,D104,U206,ACCEPTED,12.9721,77.5951,2026-06-01T10:05:00
R007,D101,U207,COMPLETED,12.9722,77.5952,2026-06-01T10:06:00
R008,D105,U208,CANCELLED,12.9723,77.5953,2026-06-01T10:07:00
R009,D102,U209,COMPLETED,12.9724,77.5954,2026-06-01T10:08:00
R010,D104,U210,COMPLETED,12.9725,77.5955,2026-06-01T10:09:00
